1126C18R
2024 Oct 15 17:04
Sample #, Measurement
1, 4.339E-2
2, 4.329E-2
3, 4.329E-2
4, 4.179E-2
5, 4.139E-2
6, 4.289E-2
7, 4.369E-2
8, 4.419E-2
9, 4.429E-2
10, 4.319E-2
11, 4.129E-2
12, 4.159E-2
13, 4.309E-2
14, 4.309E-2
15, 4.319E-2
16, 4.299E-2
17, 4.309E-2
18, 4.319E-2
19, 4.429E-2
20, 4.339E-2
21, 4.399E-2
22, 4.259E-2
23, 4.209E-2
24, 4.299E-2
25, 4.309E-2
26, 4.319E-2
27, 4.299E-2
28, 4.429E-2
29, 4.409E-2
30, 4.329E-2
31, 4.329E-2
32, 4.319E-2
33, 4.319E-2
34, 4.319E-2
35, 4.319E-2
36, 4.329E-2
37, 4.309E-2
38, 4.309E-2
39, 4.389E-2
40, 4.309E-2
41, 4.319E-2
42, 4.329E-2
43, 4.309E-2
44, 4.319E-2
45, 4.509E-2
46, 4.329E-2
47, 4.319E-2
48, 4.329E-2
49, 4.479E-2
50, 4.339E-2
51, 4.329E-2
52, 4.339E-2
53, 4.349E-2
54, 4.429E-2
55, 4.439E-2
56, 4.369E-2
57, 4.299E-2
58, 4.239E-2
59, 4.259E-2
60, 4.329E-2
61, 4.129E-2
62, 4.329E-2
63, 4.309E-2
64, 4.329E-2
65, 4.309E-2
66, 4.199E-2
67, 4.299E-2
68, 4.319E-2
69, 4.369E-2
70, 4.419E-2
71, 4.249E-2
72, 4.299E-2
73, 4.489E-2
74, 4.319E-2
75, 4.239E-2
76, 4.169E-2
77, 4.219E-2
78, 4.389E-2
79, 4.409E-2
80, 4.329E-2
81, 4.339E-2
82, 4.339E-2
83, 4.419E-2
84, 4.439E-2
85, 4.339E-2
86, 4.329E-2
87, 4.429E-2
88, 4.359E-2
89, 4.339E-2
90, 4.439E-2
91, 4.349E-2
92, 4.339E-2
93, 4.279E-2
94, 4.339E-2
95, 4.519E-2
96, 4.429E-2
97, 4.369E-2
98, 4.289E-2
99, 4.239E-2
100, 4.259E-2
101, 4.239E-2
102, 4.339E-2
103, 4.339E-2
104, 4.339E-2
105, 4.349E-2
106, 4.339E-2
107, 4.339E-2
108, 4.329E-2
109, 4.409E-2
110, 4.459E-2
111, 4.439E-2
112, 4.359E-2
113, 4.369E-2
114, 4.349E-2
115, 4.359E-2
116, 4.369E-2
117, 4.369E-2
118, 4.289E-2
119, 4.239E-2
120, 4.409E-2
121, 4.279E-2
122, 4.339E-2
123, 4.419E-2
124, 4.349E-2
125, 4.359E-2
126, 4.439E-2
127, 4.379E-2
128, 4.289E-2
129, 4.239E-2
130, 4.349E-2
131, 4.339E-2
132, 4.449E-2
133, 4.369E-2
134, 4.209E-2
135, 4.329E-2
136, 4.349E-2
137, 4.269E-2
138, 4.319E-2
139, 4.339E-2
140, 4.409E-2
141, 4.429E-2
142, 4.479E-2
143, 4.369E-2
144, 4.379E-2
145, 4.349E-2
146, 4.289E-2
147, 4.269E-2
148, 4.339E-2
149, 4.339E-2
150, 4.349E-2
151, 4.359E-2
152, 4.369E-2
153, 4.429E-2
154, 4.509E-2
155, 4.389E-2
156, 4.259E-2
157, 4.279E-2
158, 4.349E-2
159, 4.349E-2
160, 4.489E-2
161, 4.349E-2
162, 4.289E-2
163, 4.359E-2
164, 4.489E-2
165, 4.529E-2
166, 4.389E-2
167, 4.379E-2
168, 4.249E-2
169, 4.299E-2
170, 4.379E-2
171, 4.389E-2
172, 4.369E-2
173, 4.379E-2
174, 4.299E-2
175, 4.279E-2
176, 4.289E-2
177, 4.339E-2
178, 4.339E-2
179, 4.349E-2
180, 4.329E-2
181, 4.339E-2
182, 4.359E-2
183, 4.479E-2
184, 4.489E-2
185, 4.379E-2
186, 4.359E-2
187, 4.369E-2
188, 4.349E-2
189, 4.349E-2
190, 4.349E-2
191, 4.339E-2
192, 4.339E-2
193, 4.349E-2
194, 4.369E-2
195, 4.499E-2
196, 4.469E-2
197, 4.389E-2
198, 4.369E-2
199, 4.449E-2
200, 4.529E-2
201, 4.399E-2
202, 4.379E-2
203, 4.379E-2
204, 4.299E-2
205, 4.399E-2
206, 4.279E-2
207, 4.379E-2
208, 4.359E-2
209, 4.359E-2
210, 4.369E-2
211, 4.279E-2
212, 4.479E-2
213, 4.519E-2
214, 4.499E-2
215, 4.399E-2
216, 4.319E-2
217, 4.299E-2
218, 4.249E-2
219, 4.389E-2
220, 4.579E-2
221, 4.399E-2
222, 4.379E-2
223, 4.329E-2
224, 4.369E-2
225, 4.389E-2
226, 4.379E-2
227, 4.399E-2
228, 4.379E-2
229, 4.369E-2
230, 4.369E-2
231, 4.379E-2
232, 4.369E-2
233, 4.359E-2
234, 4.359E-2
